experiment,model,solver,mode,test_case,avg_sec,avg_iter,objective,termination,numerical_issues,presolve
185,3624.mps,highs,primal,5,19.46,69.00,9305250.19,OTHER_RESULT_STATUS,yes,yes
186,3624.mps,highs,jump_conic_dual,1,47.74,81674.00,9305224.36,OPTIMAL,no,yes
187,3624.mps,highs,jump_conic_dual,2,26.01,81674.00,9305224.36,OPTIMAL,no,yes
188,3624.mps,highs,jump_conic_dual,3,17.22,63829.00,9305224.36,OPTIMAL,no,yes
189,3624.mps,highs,jump_conic_dual,4,106.05,235751.00,9305224.36,OPTIMAL,no,yes
190,3624.mps,highs,jump_conic_dual,5,19.85,70.00,-9305179.64,OTHER_RESULT_STATUS,yes,yes
191,3624.mps,highs,general,1,20.66,59141.00,9305224.36,OPTIMAL,no,yes
192,3624.mps,highs,general,2,12.88,59141.00,9305224.36,OPTIMAL,no,yes
193,3624.mps,highs,general,3,15.51,52950.00,9305224.36,OPTIMAL,no,yes
194,3624.mps,highs,general,4,51.54,171936.00,9305224.36,OPTIMAL,no,yes
195,3624.mps,highs,general,5,16.38,70.00,-9305190.84,OTHER_RESULT_STATUS,yes,yes
196,4344.mps,gurobi,primal,5,3.48,58.00,11086917.16,OPTIMAL,no,yes
197,4344.mps,gurobi,primal,6,18.87,64.00,11086902.12,OPTIMAL,yes,no
198,4344.mps,gurobi,primal,7,3.87,57.00,11086901.19,OPTIMAL,no,yes
199,4344.mps,gurobi,primal,8,25.51,62.00,11086901.52,OPTIMAL,yes,no
200,4344.mps,gurobi,jump_conic_dual,5,87.84,172.00,11086609.82,OPTIMAL,yes,no
201,4344.mps,gurobi,jump_conic_dual,6,5.30,62.00,11086903.20,OPTIMAL,no,yes
202,4344.mps,gurobi,jump_conic_dual,7,97.05,129.00,11086854.95,OPTIMAL,yes,no
203,4344.mps,gurobi,jump_conic_dual,8,5.98,55.00,11086965.53,OPTIMAL,no,yes
204,4344.mps,gurobi,general,5,159.98,318.00,11090007.14,OPTIMAL,yes,no
